COMPACTNESS,CIRCULARITY,DISTANCE_CIRCULARITY,RADIUS_RATIO,PR.AXIS_ASPECT_RATIO,MAX.LENGTH_ASPECT_RATIO,SCATTER_RATIO,ELONGATEDNESS,PR.AXIS_RECTANGULARITY,MAX.LENGTH_RECTANGULARITY,SCALED_VARIANCE_MAJOR,SCALED_VARIANCE_MINOR,SCALED_RADIUS_OF_GYRATION,SKEWNESS_ABOUT_MAJOR,SKEWNESS_ABOUT_MINOR,KURTOSIS_ABOUT_MAJOR,KURTOSIS_ABOUT_MINOR,HOLLOWS_RATIO,target
87,44,70,179.0,75,6,146.0,45,19,141,167.0,326.0,178.0,69,6,1,194,201,bus
83,46,73,137.0,59,6,148.0,45,19,146,167.0,327.0,183.0,75,8,0,185,191,bus
86,41,66,129.0,55,7,135.0,50,18,136,154.0,266.0,165.0,74,3,4,180,187,opel
109,54,109,225.0,68,11,214.0,31,24,169,226.0,675.0,212.0,68,11,32,189,202,saab
94,37,73,186.0,71,7,154.0,42,19,127,171.0,362.0,132.0,67,2,8,197,206,bus
100,44,93,193.0,62,8,186.0,35,22,147,202.0,521.0,151.0,66,0,2,193,198,opel
82,43,73,154.0,65,7,151.0,44,19,143,178.0,341.0,160.0,76,5,11,185,189,bus
86,46,73,125.0,57,6,151.0,45,19,147,170.0,334.0,188.0,82,9,11,180,184,bus
116,53,110,231.0,67,12,217.0,31,24,165,231.0,692.0,222.0,67,16,28,192,206,saab
89,46,77,125.0,52,10,156.0,44,20,160,171.0,351.0,177.0,78,7,17,183,191,van
89,48,85,189.0,64,8,169.0,39,20,153,188.0,427.0,190.0,64,16,5,195,201,saab
83,41,70,155.0,65,7,144.0,46,19,141,168.0,309.0,147.0,71,4,12,188,195,bus
88,43,84,136.0,55,11,154.0,44,19,150,174.0,350.0,164.0,73,6,2,185,196,van
96,47,103,215.0,69,10,200.0,33,23,147,220.0,598.0,200.0,73,6,6,187,194,opel
88,37,57,132.0,62,6,135.0,50,18,125,151.0,265.0,144.0,83,16,16,180,184,saab
98,38,66,130.0,55,7,130.0,51,18,138,160.0,251.0,123.0,69,3,12,191,194,van
89,45,81,246.0,102,43,155.0,44,20,160,200.0,347.0,177.0,90,9,17,183,192,van
87,42,76,159.0,65,5,155.0,42,19,138,184.0,362.0,157.0,76,6,12,189,193,bus
93,36,63,139.0,57,8,132.0,50,18,136,158.0,260.0,121.0,67,3,27,193,201,van
109,55,102,169.0,51,6,241.0,27,26,165,265.0,870.0,247.0,84,10,11,184,183,bus
90,38,75,164.0,64,7,151.0,43,19,131,168.0,345.0,139.0,66,0,0,195,204,bus
98,52,86,207.0,69,5,192.0,33,22,161,212.0,570.0,221.0,75,4,6,194,195,bus
82,37,66,126.0,54,7,132.0,52,18,127,148.0,252.0,142.0,72,17,7,183,187,saab
91,40,98,192.0,64,9,177.0,38,21,135,194.0,465.0,165.0,66,9,35,195,205,saab
98,40,77,171.0,61,6,172.0,37,21,139,197.0,457.0,141.0,72,4,17,199,201,bus
106,53,98,193.0,60,10,215.0,31,24,169,224.0,681.0,218.0,73,8,21,188,197,saab
93,43,78,166.0,59,7,151.0,44,19,141,182.0,342.0,174.0,68,15,2,193,197,opel
94,37,72,193.0,72,6,158.0,41,19,133,184.0,385.0,127.0,70,0,14,200,204,bus
89,36,68,149.0,60,8,133.0,50,18,134,153.0,265.0,119.0,62,6,18,201,209,van
85,45,70,130.0,58,8,151.0,45,19,146,171.0,334.0,187.0,79,2,5,181,186,bus
86,45,73,152.0,63,6,149.0,44,19,145,170.0,335.0,176.0,71,6,1,189,196,bus
106,48,107,202.0,61,10,207.0,32,24,153,227.0,635.0,200.0,70,5,28,190,203,saab
107,52,103,186.0,57,11,214.0,31,24,162,217.0,676.0,189.0,66,6,5,189,198,opel
109,51,100,197.0,59,10,192.0,34,22,161,210.0,553.0,195.0,64,14,3,196,202,opel
109,48,107,215.0,62,10,205.0,32,23,158,222.0,624.0,168.0,65,9,32,195,206,opel
90,50,90,188.0,61,10,181.0,36,21,158,211.0,492.0,220.0,69,6,19,191,199,saab
93,45,83,142.0,56,10,157.0,43,20,155,180.0,364.0,188.0,75,1,21,184,197,van
82,41,70,155.0,64,7,148.0,45,19,138,172.0,328.0,152.0,72,5,17,187,195,bus
96,52,104,222.0,67,9,198.0,33,23,163,217.0,589.0,226.0,67,12,20,192,201,opel
90,42,63,126.0,55,7,152.0,45,19,142,173.0,336.0,173.0,81,0,15,180,184,bus
93,40,62,117.0,49,7,131.0,52,18,145,160.0,249.0,156.0,78,8,6,184,184,van
91,41,66,131.0,56,9,126.0,53,18,144,159.0,237.0,155.0,72,3,10,191,194,van
95,45,105,208.0,64,10,187.0,36,22,150,202.0,520.0,158.0,64,7,32,198,211,saab
89,37,51,111.0,54,5,120.0,56,17,127,138.0,213.0,147.0,82,7,4,181,183,van
102,51,92,194.0,60,6,220.0,30,25,162,247.0,731.0,209.0,80,7,7,188,186,bus
105,54,100,220.0,69,10,221.0,30,25,170,232.0,718.0,202.0,73,0,13,187,199,saab
113,57,109,194.0,56,6,260.0,26,28,175,288.0,982.0,261.0,85,11,21,182,183,bus
87,43,65,127.0,56,8,149.0,46,19,143,169.0,322.0,171.0,85,6,3,180,182,bus
98,51,96,203.0,66,10,188.0,35,22,157,207.0,533.0,231.0,68,10,1,191,199,saab
94,38,88,179.0,60,7,170.0,39,21,131,188.0,435.0,144.0,66,2,28,195,204,saab
82,44,63,123.0,54,7,151.0,45,19,147,166.0,329.0,185.0,81,3,4,179,182,bus
106,49,96,201.0,61,10,181.0,36,21,158,197.0,494.0,180.0,62,19,15,202,209,opel
89,44,82,136.0,54,6,149.0,45,19,144,170.0,332.0,168.0,68,10,14,188,193,opel
93,43,88,170.0,66,9,150.0,45,19,147,164.0,334.0,143.0,65,2,17,196,206,van
89,38,80,169.0,59,7,161.0,41,20,131,186.0,389.0,137.0,68,5,15,192,197,saab
98,44,78,160.0,63,8,142.0,47,18,148,160.0,300.0,171.0,63,19,2,201,207,van
104,52,96,188.0,59,9,188.0,35,22,161,206.0,530.0,205.0,67,11,8,193,200,opel
99,57,109,220.0,66,11,221.0,30,25,176,234.0,725.0,236.0,70,10,25,188,200,opel
86,42,65,125.0,54,7,150.0,45,19,140,171.0,327.0,172.0,85,2,8,180,182,bus
107,57,102,184.0,55,7,234.0,28,26,171,243.0,822.0,229.0,77,7,11,187,187,bus
109,54,103,205.0,63,11,222.0,30,25,175,229.0,720.0,213.0,71,6,14,187,200,saab
89,44,76,125.0,54,10,156.0,44,20,151,163.0,352.0,176.0,76,12,12,184,193,van
99,51,88,188.0,62,5,203.0,32,23,158,222.0,625.0,219.0,77,8,26,191,190,bus
97,45,91,161.0,63,10,151.0,45,19,148,166.0,334.0,171.0,65,18,20,197,205,van
87,41,73,158.0,64,7,151.0,44,19,138,175.0,341.0,152.0,73,3,8,190,194,bus
89,40,72,155.0,63,7,146.0,45,19,135,175.0,321.0,145.0,72,4,10,192,196,bus
86,40,75,146.0,62,6,140.0,48,18,135,158.0,290.0,162.0,72,3,21,183,190,opel
83,37,54,131.0,61,4,135.0,50,18,127,152.0,271.0,141.0,85,3,6,180,183,saab
102,54,101,190.0,58,10,222.0,30,25,171,224.0,728.0,203.0,71,13,6,189,198,opel
99,55,101,219.0,68,10,224.0,30,25,178,228.0,737.0,213.0,74,11,20,187,196,opel
101,54,106,188.0,57,7,236.0,28,26,164,256.0,833.0,253.0,81,6,14,185,185,bus
117,52,110,228.0,65,12,212.0,31,24,163,228.0,668.0,220.0,66,21,25,194,205,saab
88,44,77,167.0,59,6,151.0,44,19,145,175.0,343.0,177.0,64,9,12,202,208,opel
95,44,84,158.0,62,10,145.0,46,19,148,163.0,312.0,166.0,64,10,6,199,206,van
89,40,69,147.0,58,6,132.0,50,18,137,155.0,260.0,151.0,61,16,6,203,209,opel
97,46,101,210.0,66,8,192.0,35,22,151,208.0,546.0,169.0,66,1,32,191,200,opel
88,38,58,137.0,60,5,148.0,46,19,131,163.0,319.0,157.0,86,12,0,180,183,saab
91,46,78,148.0,61,9,147.0,45,19,152,168.0,323.0,199.0,70,13,11,189,200,van
81,47,69,146.0,64,6,151.0,44,19,147,171.0,340.0,195.0,75,5,0,183,188,bus
98,50,90,192.0,63,9,177.0,37,21,155,195.0,472.0,197.0,65,10,1,193,201,saab
93,42,88,188.0,62,10,183.0,36,21,141,208.0,504.0,168.0,70,3,12,189,197,opel
91,45,76,171.0,69,7,150.0,44,19,144,170.0,340.0,179.0,69,12,1,195,201,bus
109,49,109,193.0,59,10,207.0,32,24,156,225.0,635.0,213.0,70,13,31,191,202,saab
87,45,82,164.0,60,8,156.0,42,19,144,181.0,366.0,174.0,70,2,2,190,196,opel
100,49,96,206.0,63,9,186.0,35,22,156,202.0,519.0,176.0,62,3,5,197,205,opel
108,52,109,182.0,55,12,216.0,31,24,171,229.0,687.0,214.0,72,10,28,189,201,saab
101,46,105,195.0,61,10,198.0,34,23,150,213.0,578.0,195.0,66,7,38,192,205,saab
95,47,81,176.0,59,7,168.0,39,20,152,196.0,425.0,185.0,67,4,4,191,198,saab
89,47,85,147.0,58,10,153.0,44,19,151,175.0,349.0,186.0,74,13,7,186,197,van
87,45,77,153.0,59,7,154.0,44,19,145,181.0,350.0,172.0,75,15,14,184,189,opel
108,54,105,203.0,62,11,202.0,33,23,164,216.0,608.0,235.0,68,12,3,190,200,saab
90,47,85,149.0,60,10,155.0,43,19,155,179.0,355.0,186.0,75,1,5,185,196,van
82,37,59,134.0,63,7,135.0,51,18,128,151.0,264.0,143.0,82,11,24,179,185,saab
84,45,68,148.0,64,6,146.0,46,19,142,168.0,317.0,180.0,75,5,1,183,187,bus
89,47,81,156.0,57,8,161.0,41,20,149,187.0,388.0,197.0,72,9,15,187,193,opel
96,41,77,177.0,64,5,177.0,36,21,134,205.0,485.0,148.0,74,0,4,196,198,bus
97,45,72,187.0,71,5,161.0,40,20,144,178.0,399.0,186.0,70,7,7,196,203,bus
97,47,87,164.0,64,9,156.0,43,20,149,173.0,359.0,182.0,68,1,13,192,202,van
96,47,77,204.0,72,6,167.0,38,20,150,188.0,429.0,182.0,69,6,16,199,203,bus
87,36,53,117.0,58,4,118.0,57,17,125,138.0,205.0,138.0,85,9,15,180,183,van
109,52,95,189.0,58,4,227.0,29,25,158,262.0,776.0,217.0,82,0,19,187,186,bus
104,51,108,193.0,59,11,217.0,31,24,163,232.0,694.0,203.0,72,15,22,190,201,saab
87,37,60,132.0,57,6,128.0,52,18,129,154.0,243.0,132.0,71,1,14,186,192,saab
82,36,54,117.0,53,7,125.0,54,18,126,146.0,229.0,128.0,78,1,5,180,184,saab
105,56,98,209.0,64,11,217.0,31,24,173,225.0,696.0,216.0,72,2,19,188,199,opel
80,39,60,122.0,56,6,139.0,49,18,131,151.0,281.0,142.0,80,0,5,179,186,opel
106,54,100,227.0,67,4,250.0,27,27,162,280.0,923.0,262.0,88,5,11,182,182,bus
81,46,71,141.0,61,7,153.0,44,19,148,177.0,347.0,190.0,80,1,14,182,187,bus
100,51,109,224.0,67,9,217.0,30,24,162,238.0,704.0,206.0,72,6,18,189,199,opel
88,44,71,145.0,56,8,142.0,48,19,143,159.0,296.0,174.0,68,7,18,188,197,opel
94,49,87,159.0,64,10,157.0,43,20,158,179.0,363.0,203.0,75,4,0,183,194,van
99,43,89,195.0,63,8,186.0,35,22,144,210.0,521.0,166.0,68,6,13,191,199,saab
90,47,85,145.0,58,9,152.0,44,19,155,175.0,345.0,184.0,73,4,2,186,197,van
94,47,85,333.0,138,49,155.0,43,19,155,320.0,354.0,187.0,135,12,9,188,196,van
100,57,107,207.0,63,11,227.0,30,25,180,234.0,756.0,205.0,72,6,19,186,198,opel
86,42,65,113.0,50,8,152.0,45,19,141,169.0,332.0,171.0,85,4,16,179,183,bus
91,38,70,160.0,66,25,140.0,47,18,139,162.0,296.0,130.0,67,4,11,192,202,van
93,44,90,166.0,65,10,153.0,44,19,156,170.0,348.0,143.0,66,9,17,194,203,van
86,47,75,165.0,68,6,154.0,43,19,146,176.0,356.0,190.0,74,7,3,188,194,bus
90,49,83,187.0,63,7,176.0,37,21,154,205.0,467.0,222.0,70,1,2,189,195,saab
97,37,76,169.0,60,8,161.0,41,20,131,189.0,391.0,136.0,72,0,0,188,192,opel
108,57,106,177.0,51,5,256.0,26,28,170,285.0,966.0,261.0,87,11,2,182,181,bus
89,41,75,162.0,66,5,153.0,43,19,136,175.0,352.0,154.0,72,2,0,188,195,bus
98,38,70,186.0,68,6,164.0,39,20,136,189.0,413.0,129.0,71,3,17,200,203,bus
87,42,64,150.0,64,10,133.0,50,18,141,157.0,265.0,159.0,67,7,0,193,201,van
107,53,108,213.0,64,12,206.0,32,23,163,216.0,627.0,202.0,65,21,22,194,205,saab
85,37,80,158.0,59,8,153.0,44,19,126,179.0,348.0,136.0,69,6,21,191,197,opel
101,52,105,162.0,53,10,212.0,31,24,163,226.0,669.0,204.0,74,12,11,186,194,opel
96,39,77,160.0,62,8,140.0,47,18,150,161.0,294.0,124.0,62,15,3,201,208,van
103,48,101,204.0,62,12,200.0,33,23,158,215.0,595.0,164.0,66,8,22,192,202,opel
88,40,73,173.0,68,7,150.0,44,19,137,174.0,341.0,151.0,69,2,20,196,200,bus
80,38,64,130.0,59,8,134.0,51,18,126,152.0,259.0,135.0,76,1,23,179,188,opel
91,38,75,136.0,53,6,144.0,47,19,131,165.0,305.0,149.0,69,1,7,186,191,saab
86,45,71,155.0,66,7,146.0,45,19,144,167.0,322.0,176.0,72,5,6,189,196,bus
86,38,86,175.0,60,9,170.0,39,21,134,191.0,433.0,138.0,68,1,28,191,199,saab
89,45,77,188.0,64,9,161.0,41,20,151,190.0,390.0,174.0,66,4,2,194,201,saab
78,36,51,116.0,56,4,120.0,57,17,124,135.0,209.0,135.0,84,1,12,177,184,opel
80,43,71,133.0,60,7,150.0,45,19,146,170.0,330.0,176.0,81,6,15,180,184,bus
88,36,78,160.0,62,6,140.0,48,18,123,161.0,287.0,129.0,66,4,35,194,202,opel
85,45,82,133.0,56,11,159.0,43,20,156,170.0,362.0,173.0,76,10,21,183,193,van
101,53,108,184.0,54,12,216.0,31,24,172,220.0,685.0,187.0,68,4,24,190,201,opel
89,44,70,158.0,64,6,141.0,47,18,143,164.0,299.0,173.0,66,9,11,193,199,bus
96,36,74,183.0,70,6,149.0,43,19,127,178.0,341.0,127.0,69,0,17,201,205,bus
87,43,70,169.0,72,7,152.0,44,19,145,177.0,341.0,171.0,76,6,12,184,187,bus
93,34,72,144.0,56,6,133.0,50,18,123,158.0,263.0,125.0,63,5,20,200,206,saab
96,39,58,117.0,51,6,133.0,52,18,139,154.0,255.0,150.0,86,6,0,181,182,van
98,48,101,195.0,61,11,207.0,31,23,152,227.0,650.0,193.0,71,5,7,189,196,opel
90,34,66,158.0,59,7,140.0,47,18,124,165.0,298.0,117.0,61,1,3,201,207,saab
85,45,70,120.0,54,7,149.0,45,19,145,169.0,326.0,186.0,81,8,4,181,184,bus
91,41,93,197.0,65,9,183.0,36,21,137,202.0,504.0,153.0,66,11,24,193,200,opel
89,36,69,142.0,57,7,135.0,50,18,126,154.0,266.0,128.0,66,3,36,193,203,opel
106,53,98,203.0,63,11,220.0,30,25,167,228.0,710.0,214.0,71,10,24,188,197,opel
86,38,89,176.0,59,9,169.0,39,20,132,190.0,428.0,148.0,67,7,33,193,202,opel
112,50,104,197.0,58,11,208.0,32,24,159,223.0,639.0,186.0,67,15,22,191,202,saab
84,37,70,145.0,62,9,136.0,48,18,134,159.0,280.0,140.0,68,11,9,194,202,van
104,53,108,206.0,61,11,217.0,31,24,168,226.0,694.0,209.0,67,0,9,188,201,saab
99,47,91,226.0,74,5,202.0,32,23,148,234.0,629.0,186.0,79,4,11,192,191,bus
84,38,83,141.0,54,7,149.0,45,19,132,177.0,327.0,149.0,74,6,29,185,191,saab
85,42,70,130.0,56,7,150.0,45,19,145,177.0,328.0,172.0,82,10,14,181,185,bus
104,51,105,168.0,54,10,208.0,32,24,162,220.0,641.0,221.0,72,9,20,187,197,saab
85,37,68,145.0,60,6,130.0,51,18,130,150.0,253.0,121.0,65,3,14,195,203,van
93,42,64,123.0,51,7,135.0,51,18,144,164.0,262.0,155.0,78,16,12,185,185,van
84,40,71,131.0,55,7,150.0,45,19,134,167.0,330.0,165.0,80,12,1,180,186,opel
91,49,86,195.0,63,8,177.0,37,21,156,203.0,473.0,201.0,67,7,5,192,198,opel
98,47,109,202.0,59,11,199.0,34,23,154,207.0,586.0,165.0,61,1,33,194,208,saab
101,51,98,194.0,60,10,195.0,34,22,161,219.0,572.0,219.0,67,0,10,192,201,saab
90,47,73,136.0,58,11,161.0,42,20,153,172.0,376.0,185.0,77,11,8,183,191,van
91,36,60,126.0,56,6,119.0,56,17,130,139.0,211.0,118.0,67,6,14,192,198,van
99,50,88,204.0,64,10,185.0,35,22,159,209.0,517.0,193.0,66,12,11,194,201,opel
102,53,101,238.0,72,4,238.0,28,26,163,267.0,844.0,242.0,85,7,22,184,184,bus
89,46,74,135.0,59,9,157.0,44,20,158,170.0,356.0,177.0,79,12,3,184,191,van
101,52,101,197.0,62,9,188.0,35,22,162,208.0,527.0,203.0,67,14,15,193,202,saab
95,57,104,228.0,74,10,212.0,31,24,175,224.0,670.0,223.0,74,0,4,186,193,opel
101,53,91,194.0,65,6,204.0,32,23,161,231.0,636.0,214.0,78,5,14,192,192,bus
91,39,82,164.0,68,10,143.0,46,19,137,164.0,308.0,158.0,68,13,9,191,201,van
91,46,75,185.0,75,7,154.0,42,19,147,178.0,362.0,192.0,72,8,8,192,199,bus
94,37,74,169.0,59,7,162.0,41,20,133,178.0,394.0,130.0,63,6,6,198,204,opel
92,38,74,178.0,62,9,161.0,41,20,135,181.0,388.0,132.0,63,7,29,197,206,opel
95,43,71,159.0,64,6,145.0,45,19,141,169.0,322.0,171.0,67,8,4,195,200,bus
106,52,101,213.0,64,11,201.0,33,23,158,214.0,607.0,204.0,65,2,4,192,204,saab
81,43,68,139.0,62,7,149.0,46,19,145,172.0,323.0,171.0,83,1,14,180,184,bus
92,43,70,124.0,52,6,139.0,49,18,144,164.0,282.0,172.0,79,4,16,183,185,van
83,45,73,161.0,68,8,142.0,46,18,144,169.0,305.0,179.0,71,10,3,191,199,van
103,57,105,221.0,69,11,218.0,30,24,173,226.0,706.0,250.0,73,10,2,187,195,opel
98,42,90,192.0,61,9,178.0,37,21,144,189.0,480.0,138.0,61,3,8,199,208,saab
90,41,62,147.0,60,6,128.0,52,18,141,149.0,246.0,157.0,61,13,4,201,208,van
106,52,107,211.0,62,8,200.0,33,23,161,218.0,602.0,200.0,67,9,17,194,201,opel
97,47,81,183.0,64,8,168.0,39,20,150,193.0,426.0,182.0,70,11,2,192,198,opel
85,40,66,121.0,52,4,152.0,44,19,133,170.0,340.0,163.0,87,13,3,180,183,opel
100,49,80,206.0,70,6,183.0,35,21,156,206.0,517.0,198.0,73,3,13,198,199,bus
82,43,71,154.0,68,7,150.0,45,19,143,171.0,330.0,173.0,78,7,11,181,186,bus
78,43,70,147.0,65,8,147.0,46,19,145,169.0,319.0,168.0,77,1,12,181,186,bus
96,54,104,175.0,58,10,215.0,31,24,175,221.0,682.0,222.0,75,13,23,186,194,opel
105,51,108,201.0,62,11,220.0,30,25,163,232.0,711.0,202.0,72,12,16,189,200,saab
92,40,62,144.0,59,8,127.0,52,17,139,149.0,241.0,150.0,62,13,1,204,210,van
91,44,66,151.0,63,7,137.0,48,18,146,166.0,280.0,167.0,72,1,9,188,194,van
104,55,109,230.0,67,12,218.0,30,24,174,230.0,706.0,226.0,67,8,22,191,202,opel
105,50,93,173.0,54,4,222.0,30,25,159,254.0,735.0,206.0,83,4,12,186,184,bus
107,56,105,202.0,61,11,221.0,30,25,179,234.0,725.0,212.0,72,15,1,189,196,opel
82,40,73,141.0,57,8,153.0,44,19,133,173.0,342.0,153.0,75,11,9,181,187,opel
97,55,104,219.0,71,9,211.0,32,24,171,222.0,658.0,223.0,74,1,24,186,196,saab
101,55,101,183.0,57,13,225.0,30,25,177,225.0,741.0,204.0,71,5,10,186,198,opel
89,46,78,150.0,63,11,160.0,43,20,160,170.0,367.0,176.0,73,5,9,185,194,van
94,45,89,213.0,71,5,186.0,35,22,145,204.0,533.0,182.0,71,4,13,195,198,bus
86,42,64,122.0,54,6,148.0,46,19,143,170.0,319.0,171.0,87,1,3,179,182,bus
104,55,100,201.0,66,10,214.0,31,24,173,224.0,680.0,221.0,74,1,1,185,194,saab
104,54,91,209.0,67,11,218.0,31,24,170,223.0,697.0,196.0,74,4,21,187,196,opel
94,46,79,181.0,62,8,167.0,40,20,148,190.0,418.0,193.0,67,12,15,191,198,opel
86,38,76,143.0,59,8,142.0,47,18,131,167.0,301.0,138.0,71,5,10,189,196,van
90,48,78,143.0,60,11,161.0,43,20,159,172.0,374.0,186.0,75,2,2,184,193,van
83,46,71,156.0,70,6,151.0,44,19,147,174.0,338.0,198.0,80,3,11,181,186,bus
104,57,103,222.0,72,12,221.0,30,25,177,223.0,718.0,218.0,72,11,12,186,195,opel
93,45,81,177.0,64,7,160.0,41,20,147,180.0,383.0,188.0,70,11,11,192,199,saab
82,39,86,140.0,54,7,153.0,45,19,134,174.0,338.0,139.0,71,11,18,183,189,opel
102,51,108,193.0,57,10,212.0,31,24,162,219.0,663.0,184.0,66,7,21,191,201,opel
108,54,109,189.0,57,11,220.0,31,25,174,229.0,709.0,214.0,70,12,23,189,201,saab
97,45,76,175.0,60,9,157.0,42,20,149,180.0,370.0,169.0,63,16,12,198,206,saab
85,43,66,130.0,57,6,151.0,45,19,143,173.0,333.0,168.0,86,4,9,180,183,bus
102,54,98,177.0,56,10,219.0,31,25,171,219.0,706.0,223.0,72,5,17,186,196,opel
106,54,105,164.0,48,5,247.0,27,27,165,269.0,891.0,243.0,84,12,1,181,182,bus
94,45,72,179.0,69,6,156.0,41,19,144,181.0,373.0,191.0,69,5,5,193,198,bus
106,55,98,224.0,68,11,215.0,31,24,170,222.0,679.0,214.0,68,2,29,189,201,opel
94,43,82,136.0,54,10,155.0,43,19,149,176.0,359.0,161.0,74,1,6,186,197,van
88,36,53,113.0,57,3,118.0,57,17,128,137.0,204.0,136.0,88,7,14,180,183,van
102,54,98,167.0,53,10,217.0,31,24,174,228.0,692.0,223.0,72,0,31,187,198,opel
101,56,100,204.0,62,12,227.0,30,25,178,231.0,757.0,204.0,73,0,11,186,197,opel
105,54,96,185.0,57,10,219.0,30,25,170,231.0,706.0,217.0,75,5,12,187,195,opel
86,36,66,128.0,57,8,131.0,52,18,127,148.0,252.0,139.0,76,5,27,183,187,opel
91,39,72,133.0,55,7,146.0,46,19,132,170.0,314.0,149.0,77,9,18,184,189,saab
97,46,94,209.0,67,10,195.0,34,22,147,224.0,573.0,194.0,70,0,14,188,197,opel
115,53,100,205.0,64,11,220.0,30,25,166,229.0,710.0,214.0,71,21,11,189,199,saab
101,51,112,201.0,59,11,214.0,32,24,162,223.0,667.0,194.0,65,0,36,190,206,saab
93,35,78,162.0,60,8,150.0,45,19,125,172.0,331.0,137.0,67,2,33,191,198,opel
95,46,92,159.0,63,11,160.0,42,20,157,176.0,372.0,171.0,70,7,21,189,200,van
101,55,105,182.0,59,10,215.0,31,24,177,221.0,678.0,223.0,74,12,26,186,195,opel
86,43,70,126.0,56,6,148.0,46,19,145,166.0,317.0,171.0,86,6,9,179,182,bus
88,38,77,156.0,56,7,163.0,41,20,129,184.0,395.0,140.0,67,1,9,192,198,opel
103,54,107,189.0,56,11,223.0,30,25,174,225.0,729.0,200.0,70,0,29,187,201,opel
95,37,71,171.0,61,9,157.0,43,20,134,178.0,365.0,125.0,63,5,40,196,208,saab
89,38,74,138.0,59,7,136.0,49,18,133,167.0,278.0,128.0,72,7,7,189,193,van
76,38,58,125.0,58,5,133.0,51,18,127,152.0,259.0,145.0,87,0,21,177,184,opel
92,42,75,172.0,60,8,147.0,45,19,142,174.0,322.0,160.0,62,22,10,206,211,opel
107,54,108,228.0,68,12,218.0,31,25,170,223.0,700.0,224.0,67,13,25,190,204,saab
85,40,75,137.0,56,7,152.0,44,19,134,173.0,339.0,160.0,76,7,16,182,187,saab
88,39,76,155.0,62,8,137.0,48,18,137,156.0,281.0,124.0,63,3,6,201,209,van
89,40,89,174.0,58,8,177.0,37,21,133,202.0,471.0,155.0,70,7,18,189,196,saab
93,40,73,139.0,58,6,136.0,49,18,138,166.0,275.0,137.0,73,0,0,187,188,van
89,36,69,162.0,63,6,140.0,48,18,131,164.0,291.0,126.0,66,1,38,193,204,saab
90,43,81,231.0,97,46,150.0,45,19,149,200.0,332.0,164.0,91,5,9,186,196,van
105,52,107,207.0,60,11,218.0,31,24,167,221.0,701.0,197.0,66,0,20,191,203,opel
92,45,76,162.0,57,7,159.0,41,20,147,184.0,381.0,177.0,69,8,10,190,195,saab
97,44,95,202.0,66,9,188.0,35,22,144,216.0,526.0,175.0,72,15,11,190,197,saab
109,49,103,186.0,57,11,206.0,32,23,156,212.0,630.0,186.0,65,12,21,192,201,opel
95,47,73,195.0,70,7,167.0,38,20,152,184.0,430.0,185.0,69,9,19,200,206,bus
86,43,61,119.0,53,8,150.0,46,19,144,169.0,326.0,172.0,85,8,8,179,182,bus
88,48,90,178.0,60,8,175.0,38,21,152,200.0,460.0,198.0,68,13,16,192,199,saab
107,55,103,167.0,49,7,252.0,27,28,172,269.0,904.0,239.0,83,5,30,179,186,bus
104,49,105,209.0,61,11,207.0,32,24,157,217.0,637.0,168.0,64,0,19,193,207,saab
89,41,63,134.0,59,6,123.0,55,17,137,148.0,223.0,150.0,76,12,3,186,188,van
90,39,57,114.0,48,7,135.0,51,18,139,155.0,261.0,151.0,85,12,8,183,182,van
98,44,88,176.0,67,10,158.0,43,20,149,173.0,367.0,154.0,66,14,9,194,202,van
102,55,101,213.0,67,12,222.0,30,25,177,226.0,719.0,213.0,71,2,21,187,199,saab
86,40,66,139.0,59,7,122.0,54,17,139,145.0,225.0,143.0,63,7,11,202,208,van
101,49,103,212.0,67,10,201.0,33,23,156,215.0,601.0,174.0,69,4,11,189,196,opel
109,55,96,191.0,57,6,241.0,28,26,170,267.0,857.0,242.0,85,8,9,184,184,bus
92,45,74,187.0,74,7,157.0,41,19,143,179.0,375.0,183.0,70,8,6,195,201,bus
88,34,58,140.0,59,6,127.0,52,18,130,148.0,243.0,113.0,63,4,10,199,206,van
93,39,86,180.0,59,9,167.0,39,20,134,186.0,418.0,129.0,63,6,17,197,204,saab
96,37,74,187.0,68,8,159.0,42,20,134,183.0,378.0,134.0,69,3,16,190,197,saab
88,43,70,177.0,74,19,152.0,44,19,143,180.0,342.0,168.0,76,1,9,186,189,bus
88,44,84,135.0,55,12,155.0,44,20,158,176.0,351.0,164.0,75,7,11,183,195,van
92,40,66,111.0,48,7,139.0,50,19,140,159.0,277.0,148.0,85,12,19,182,183,van
88,44,70,151.0,61,8,143.0,46,18,143,163.0,311.0,173.0,68,7,8,196,203,bus
94,39,75,184.0,72,8,155.0,42,19,133,175.0,365.0,145.0,70,4,5,192,200,bus
107,51,103,182.0,56,11,213.0,31,24,162,226.0,673.0,217.0,72,2,4,188,198,saab
86,38,58,119.0,56,4,118.0,57,17,129,140.0,208.0,152.0,78,9,2,184,186,van
79,39,72,127.0,53,9,142.0,48,19,135,165.0,295.0,144.0,77,7,21,181,189,opel
90,39,89,181.0,62,8,175.0,38,21,132,200.0,458.0,154.0,70,11,15,189,195,saab
86,45,66,126.0,57,8,148.0,46,19,145,170.0,321.0,186.0,86,0,7,179,182,bus
113,48,98,208.0,62,9,203.0,33,23,151,216.0,613.0,183.0,64,17,29,193,204,saab
